,season,team,player,nation,pos,age,mp,starts,minutes,ninetys,gls,ast,npg,xg,npxg,xa,np_xgoal_contrib,sh,sot,dist,fk,pkscored,pkatt,tkl,tklw,tklvsdrb,attvsdrb,press,succ,blocks,inter,err,pass_cmp,pass_att,pass_totdist,pass_prgdist,sca,sca_passlive,sca_passdead,sca_drib,sca_sh,sca_fld,sca_def,gca,gca_passlive,gca_passdead,gca_drib,gca_sh,gca_fld,gca_def,touches,touches_defthird,touches_attthird,touches_attpen,carries,carries_totdist,carries_prgdist,progcarries,progpassrec,crdy,crdr,twocrdy,fls,fld,off,recov,arlwon,arllost,player_team
220,2022_2023,Everton,Conor Coady,eng ENG,DF,29,5,5,440.0,4.9,0.0,1.0,0.0,0.0,0.0,0.3,0.3,0,0,,0,0,0,3,3,1,2,15,5,6,4,0,170,196,4203,1439,4,4,0,0,0,0,0,1,1,0,0,0,0,0,251,177,4,1,145,770,496,4,1,0,0,0,3,6,1,29,11,7,Conor_Coady_['E_v_e_r_t_o_n']
221,2022_2023,Everton,Dwight McNeil,eng ENG,FW,22,6,4,341.0,3.8,0.0,0.0,0.0,0.3,0.3,0.2,0.5,6,1,15.5,0,0,0,14,7,4,8,106,26,8,6,0,86,122,1554,412,13,9,3,1,0,0,0,0,0,0,0,0,0,0,180,38,78,9,119,609,268,18,13,0,0,0,0,5,1,29,0,9,Dwight_McNeil_['E_v_e_r_t_o_n']
222,2022_2023,Everton,Mason Holgate,eng ENG,DF,25,4,3,320.0,3.6,0.0,0.0,0.0,0.3,0.3,0.2,0.6,3,0,12.4,0,0,0,7,4,1,3,36,12,5,7,0,107,149,2441,594,6,5,0,0,1,0,0,2,2,0,0,0,0,0,193,98,15,4,104,441,245,4,0,1,0,0,3,5,0,30,9,5,Mason_Holgate_['E_v_e_r_t_o_n']
223,2022_2023,Everton,Amadou Onana,be BEL,MF,21,5,3,301.0,3.3,0.0,0.0,0.0,0.6,0.6,0.2,0.8,4,0,13.2,0,0,0,13,7,2,7,55,17,5,9,0,82,108,1428,227,4,3,0,1,0,0,0,0,0,0,0,0,0,0,158,44,23,5,84,345,192,4,5,2,0,0,8,5,0,30,10,8,Amadou_Onana_['E_v_e_r_t_o_n']
224,2022_2023,Everton,Tom Davies,eng ENG,MF,24,5,3,276.0,3.1,0.0,0.0,0.0,0.4,0.4,0.1,0.5,5,0,17.3,0,0,0,6,6,1,3,44,15,4,7,0,77,103,1418,411,4,4,0,0,0,0,0,0,0,0,0,0,0,0,143,39,27,7,68,261,126,4,7,2,0,0,3,4,1,28,7,7,Tom_Davies_['E_v_e_r_t_o_n']
225,2022_2023,Everton,Abdoulaye Doucouré,ml MLI,MF,29,2,2,124.0,1.4,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2,1,12.0,0,0,0,5,4,1,3,33,16,3,0,0,40,46,663,220,2,1,0,0,1,0,0,0,0,0,0,0,0,0,58,18,15,5,31,124,70,3,2,0,0,0,1,1,0,17,2,4,Abdoulaye_Doucouré_['E_v_e_r_t_o_n']
226,2022_2023,Everton,Neal Maupay,fr FRA,FW,26,1,1,90.0,1.0,0.0,0.0,0.0,0.7,0.7,0.1,0.7,5,1,10.4,0,0,0,0,0,0,0,12,0,0,0,0,11,15,105,34,4,3,0,0,1,0,0,0,0,0,0,0,0,0,23,3,16,7,15,109,63,2,6,0,0,0,0,1,0,3,0,2,Neal_Maupay_['E_v_e_r_t_o_n']
227,2022_2023,Aston Villa,Lucas Digne,fr FRA,DF,29,6,6,540.0,6.0,0.0,0.0,0.0,0.2,0.2,0.5,0.7,3,0,16.5,0,0,0,10,8,5,10,75,27,16,7,0,282,371,4889,1735,8,7,1,0,0,0,0,0,0,0,0,0,0,0,440,130,157,12,252,1019,627,33,11,2,0,0,10,11,2,61,18,7,"Lucas_Digne_['A_s_t_o_n_', '_V_i_l_l_a']"
228,2022_2023,Aston Villa,Boubacar Kamara,fr FRA,MF,22,6,6,523.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32.0,0,0,0,22,15,6,14,122,47,15,12,0,277,324,5054,1131,2,2,0,0,0,0,0,0,0,0,0,0,0,0,392,115,44,2,246,969,417,17,3,1,0,0,19,9,0,66,12,7,"Boubacar_Kamara_['A_s_t_o_n_', '_V_i_l_l_a']"
229,2022_2023,Aston Villa,John McGinn,sct SCO,MF,27,6,6,477.0,5.3,0.0,0.0,0.0,0.2,0.2,0.2,0.4,7,0,26.1,0,0,0,17,10,4,9,92,28,10,8,0,196,244,4047,1649,5,3,2,0,0,0,0,0,0,0,0,0,0,0,306,48,71,1,217,742,382,20,4,2,0,0,11,9,0,47,5,3,"John_McGinn_['A_s_t_o_n_', '_V_i_l_l_a']"
230,2022_2023,Aston Villa,Matty Cash,pl POL,DF,25,6,6,475.0,5.3,0.0,0.0,0.0,0.1,0.1,0.3,0.4,3,0,24.2,0,0,0,11,6,5,12,44,17,12,7,0,197,258,3359,1046,10,9,0,1,0,0,0,0,0,0,0,0,0,0,311,82,108,9,191,1219,757,26,12,2,0,0,6,7,1,35,5,3,"Matty_Cash_['A_s_t_o_n_', '_V_i_l_l_a']"
231,2022_2023,Aston Villa,Ollie Watkins,eng ENG,FW,26,6,5,475.0,5.3,1.0,2.0,1.0,1.0,1.0,1.1,2.1,7,3,11.3,0,0,0,5,5,1,2,57,21,7,0,0,91,109,1148,160,8,8,0,0,0,0,0,2,2,0,0,0,0,0,154,11,84,17,97,446,236,11,33,0,0,0,4,6,3,17,7,28,"Ollie_Watkins_['A_s_t_o_n_', '_V_i_l_l_a']"
232,2022_2023,Aston Villa,Ezri Konsa,eng ENG,DF,24,6,5,451.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1,0,7.0,0,0,0,10,6,2,3,42,13,8,7,0,212,248,4234,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,172,6,2,190,825,369,12,0,1,0,0,5,7,0,39,9,6,"Ezri_Konsa_['A_s_t_o_n_', '_V_i_l_l_a']"
233,2022_2023,Aston Villa,Jacob Ramsey,eng ENG,MF,21,6,5,429.0,4.8,0.0,1.0,0.0,0.1,0.1,0.6,0.7,3,2,24.0,0,0,0,12,8,2,9,91,25,9,5,0,177,196,2611,772,12,11,0,1,0,0,0,1,1,0,0,0,0,0,255,37,94,10,190,1001,632,33,16,2,0,0,7,8,1,36,6,5,"Jacob_Ramsey_['A_s_t_o_n_', '_V_i_l_l_a']"
